code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002113,2019-08-26,2019-06-30,2.006208,89.721486,,,0.297946,0.101017
sz.002113,2019-10-23,2019-09-30,3.322449,81.265345,,,0.490536,0.169568
sz.002113,2020-04-28,2020-03-31,0.705169,127.628928,,,0.235822,0.072627
sz.002113,2020-08-26,2020-06-30,1.287623,139.792483,,,0.447580,0.141330
sz.002113,2020-10-28,2020-09-30,1.917703,140.793419,,,0.766931,0.241159
sz.002131,2017-04-29,2017-03-31,0.696220,129.269577,4.593127,19.594494,0.455208,0.185737
sz.002131,2017-08-31,2017-06-30,1.457315,123.514796,9.930616,18.125763,0.917444,0.390166
sz.002131,2017-10-30,2017-09-30,2.272968,118.787421,16.584856,16.279912,1.457608,0.637488
sz.002131,2018-04-27,2018-03-31,0.620492,145.046214,5.877703,15.312103,0.369493,0.193564
sz.002131,2018-08-29,2018-06-30,1.332395,135.095092,13.931654,12.920218,0.822644,0.436907
sz.002131,2018-10-29,2018-09-30,2.057179,131.247683,20.149097,13.400104,1.288787,0.666081
sz.002131,2019-04-27,2019-03-31,0.661365,136.082094,5.972326,15.069506,0.358295,0.235707
sz.002131,2019-08-23,2019-06-30,1.371660,131.227896,12.588045,14.299282,0.803934,0.496301
sz.002131,2019-10-31,2019-09-30,2.151475,125.495313,18.777488,14.378920,1.225565,0.756623
sz.002131,2020-04-28,2020-03-31,0.838814,107.294298,8.523974,10.558456,0.459005,0.283389
sz.002131,2020-08-11,2020-06-30,1.674213,107.513226,16.933621,10.629741,0.933533,0.564879
sz.002131,2020-10-31,2020-09-30,2.479226,108.904936,23.236200,11.619800,1.422546,0.725568
sz.002153,2017-04-27,2017-03-31,1.486144,60.559414,1.034946,86.961068,0.153506,0.089876
sz.002153,2017-08-24,2017-06-30,3.763637,47.826085,2.098958,85.756843,0.344619,0.200095
sz.002153,2017-10-27,2017-09-30,5.710773,47.279068,3.531140,76.462562,0.547504,0.319303
sz.002153,2018-04-27,2018-03-31,1.096235,82.099164,0.904182,99.537433,0.126420,0.076317
sz.002153,2018-08-30,2018-06-30,2.871738,62.679808,2.130778,84.476197,0.229750,0.151827
sz.002153,2018-10-27,2018-09-30,4.541291,59.454455,3.202839,84.300221,0.362726,0.236195
sz.002153,2019-04-29,2019-03-31,1.255774,71.668940,0.950007,94.736131,0.103121,0.068178
sz.002153,2019-08-29,2019-06-30,2.700539,66.653351,2.037438,88.346243,0.217362,0.143001
sz.002153,2019-10-29,2019-09-30,4.370400,61.779237,3.228596,83.627688,0.358500,0.232830
sz.002153,2020-04-30,2020-03-31,0.942560,95.484632,0.849110,105.993379,0.091748,0.055426
sz.002153,2020-08-27,2020-06-30,2.200948,81.782952,2.121764,84.835061,0.211022,0.126274
sz.002153,2020-10-27,2020-09-30,3.782333,71.384506,3.522729,76.645117,0.347817,0.206785
sz.002168,2017-04-24,2017-03-31,0.494527,181.991943,0.577994,155.710859,0.054479,0.025768
sz.002168,2017-08-01,2017-06-30,1.249532,144.053921,1.766451,101.899255,0.157066,0.074487
sz.002168,2017-10-30,2017-09-30,1.986607,135.910122,2.615252,103.240524,0.243175,0.112394
sz.002168,2018-04-17,2018-03-31,2.668475,33.727134,2.003916,44.912066,0.575767,0.180609
sz.002168,2018-08-21,2018-06-30,4.476150,40.213128,3.859433,46.638977,0.848774,0.336515
sz.002168,2018-10-23,2018-09-30,5.821340,46.381074,6.332891,42.634557,1.092587,0.446182
sz.002168,2019-04-23,2019-03-31,0.556148,161.827336,0.946449,95.092337,0.125748,0.060021
sz.002168,2019-08-23,2019-06-30,1.101065,163.478123,1.858014,96.877609,0.242500,0.116869
sz.002168,2019-10-29,2019-09-30,1.695080,159.284564,3.481760,77.546983,0.394532,0.182401
sz.002168,2020-04-30,2020-03-31,1.075531,83.679565,1.789659,50.288924,0.240124,0.095427
sz.002168,2020-08-26,2020-06-30,1.712232,105.125910,3.066483,58.699163,0.419631,0.153438
sz.002168,2020-10-30,2020-09-30,2.447039,110.337439,5.822984,46.367975,0.557129,0.203901
sz.002174,2017-04-25,2017-03-31,1.174342,76.638638,,,0.468143,0.175150
sz.002174,2017-08-24,2017-06-30,2.422374,74.307255,,,0.812060,0.317941
sz.002174,2017-10-31,2017-09-30,3.802953,70.997457,,,1.132217,0.450920
sz.002174,2018-04-26,2018-03-31,1.499534,60.018660,,,0.270313,0.127613
sz.002174,2018-08-29,2018-06-30,2.926796,61.500696,,,0.579643,0.265932
sz.002174,2018-10-26,2018-09-30,4.034770,66.918312,,,0.878662,0.388160
sz.002174,2019-04-30,2019-03-31,0.897342,100.296236,,,0.208439,0.108800
sz.002174,2019-08-31,2019-06-30,1.857843,96.886532,,,0.423538,0.223494
sz.002174,2019-10-23,2019-09-30,2.680197,100.738863,,,0.574145,0.315341
sz.002174,2020-04-30,2020-03-31,1.375953,65.409217,,,0.351065,0.134185
sz.002174,2020-08-26,2020-06-30,2.783973,64.655789,,,0.705727,0.274890
sz.002174,2020-10-30,2020-09-30,4.443499,60.762930,,,1.088710,0.411893
sz.002195,2017-04-22,2017-03-31,0.836679,107.568103,,,0.087511,0.055696
sz.002195,2017-08-18,2017-06-30,2.311256,77.879717,,,0.217746,0.138844
sz.002195,2017-10-25,2017-09-30,3.948651,68.377783,,,0.384324,0.247786
sz.002195,2018-04-20,2018-03-31,0.744338,120.912794,,,0.079676,0.046844
sz.002195,2018-08-17,2018-06-30,2.444917,73.622144,6.044915,29.777092,0.226275,0.133092
sz.002195,2018-10-25,2018-09-30,4.421780,61.061378,5.728937,47.129159,0.407683,0.239000
sz.002195,2019-04-18,2019-03-31,2.252428,39.956878,,,0.167307,0.109462
sz.002195,2019-08-15,2019-06-30,3.534025,50.933423,,,0.232777,0.153973
sz.002195,2019-10-25,2019-09-30,4.575800,59.006071,,,0.295556,0.190176
sz.002195,2020-04-30,2020-03-31,0.803986,111.942211,,,0.051449,0.030544
sz.002195,2020-08-18,2020-06-30,1.223638,147.102355,,,0.100816,0.058596
sz.002195,2020-10-26,2020-09-30,2.009386,134.369384,,,0.141791,0.084222
sz.002197,2017-04-27,2017-03-31,0.419792,214.392136,0.956452,94.097818,0.124536,0.075521
sz.002197,2017-08-24,2017-06-30,0.814518,220.989459,1.785827,100.793644,0.258500,0.153983
sz.002197,2017-10-21,2017-09-30,1.107320,243.831918,2.511646,107.499219,0.338626,0.210067
sz.002197,2018-04-27,2018-03-31,0.242436,371.232673,0.617956,145.641459,0.094983,0.052305
sz.002197,2018-08-11,2018-06-30,0.501605,358.847745,1.434813,125.451857,0.214918,0.117353
sz.002197,2018-10-26,2018-09-30,0.745896,361.980729,2.200780,122.683800,0.322486,0.174761
sz.002197,2019-04-29,2019-03-31,0.183324,490.934609,0.829674,108.476400,0.093594,0.046266
sz.002197,2019-08-07,2019-06-30,0.388888,462.857903,1.823195,98.727756,0.207123,0.101635
sz.002197,2019-10-24,2019-09-30,0.568246,475.146005,2.637381,102.374302,0.305968,0.148306
sz.002197,2020-04-29,2020-03-31,0.148314,606.821720,1.073391,83.846426,0.088088,0.039441
sz.002197,2020-08-21,2020-06-30,0.305501,589.195450,1.998548,90.065371,0.172795,0.078895
sz.002197,2020-10-24,2020-09-30,0.458081,589.415840,2.962685,91.133540,0.238585,0.109376
